time,Hand_fighting,high_collar_grip,left_hand,left_leg,leg_inside,leg_outside,low_collar_grip,over_hook,posture_gain,posture_lost,reset,right_hand,right_leg,sleeve_grip,stepping_backwards,stepping_foward
38.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
39.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
40.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
42.238,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2
43.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44.238,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2
45.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
46.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
47.238,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
48.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
49.238,2,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1
50.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
51.238,2,0,1,2,0,1,0,0,0,0,0,1,1,0,1,2
52.238,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1
53.238,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
54.238,2,0,1,2,0,0,0,0,0,0,0,1,1,0,0,2
55.238,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
56.238,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
57.238,3,0,1,1,0,0,0,0,0,0,0,1,3,0,1,2
58.238,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
59.238,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
60.238,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
61.238,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,2
62.238,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
63.238,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2
64.238,0,0,1,1,0,0,1,0,0,0,0,1,1,1,2,0
65.238,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
